Name,Assists,Map,MatchTeams
blaZek1ng,7,Icebox,GE VS TLN
Shyy,7,Breeze,KRU VS FUR
Boaster,7,Icebox,FNC VS TH
Foxy9,7,Split,GEN VS DRX
Sayaplayer,7,Ascent,T1 VS DFM
JitBoyS,7,Bind,BLD VS TLN
Kicks,7,Sunset,VIT VS FUT
nAts,7,Split,TL VS NAVI
yuran,7,Lotus,TS VS ZETA
ShadoW,7,Split,KOI VS TL
Lmemore,7,Icebox,TS VS RRQ
supamen,7,Lotus,G2 VS EG
vanity,7,Sunset,C9 VS EG
Mazino,7,Icebox,C9 VS LEV
ceNder,7,Sunset,VIT VS FUT
JitBoyS,7,Icebox,BLD VS TLN
Sayaplayer,7,Sunset,T1 VS DFM
Boaster,7,Split,FNC VS GX
Redgar,7,Bind,FNC VS GX
Jinggg,7,Icebox,GEN VS PRX
tomaszy,7,Sunset,KC VS NAVI
Medusa,7,Ascent,T1 VS DFM
mwzera,7,Breeze,NRG VS FUR
sScary,7,Split,BLD VS DFM
Anthem,7,Ascent,BLD VS DFM
MrFaliN,7,Ascent,VIT VS FUT
Derrek,7,Sunset,C9 VS EG
icy,7,Split,G2 VS 100T
Estrella,7,Icebox,BLD VS RRQ
SUYGETSU,7,Bind,VIT VS NAVI
ban,7,Bind,BLD VS TLN
Lightningfast,7,Icebox,GE VS ZETA
Carpe,7,Sunset,T1 VS DFM
JonahP,7,Icebox,G2 VS EG
Retla,7,Lotus,BLD VS ZETA
Enzo,7,Lotus,TL VS NAVI
sScary,7,Lotus,BLD VS TLN
Kicks,7,Bind,VIT VS NAVI
Chronicle,7,Bind,FNC VS GX
yay,7,Lotus,BLD VS ZETA
hiroronn,7,Lotus,BLD VS ZETA
Lakia,7,Bind,GEN VS DRX
Boaster,7,Breeze,FNC VS GX
Zest,7,Ascent,BLD VS DFM
Demon1,7,Breeze,NRG VS LOUD
logaN,7,Sunset,BBL VS M8
iZu,7,Lotus,T1 VS RRQ
trexx,7,Breeze,VIT VS TH
Brave,7,Breeze,BBL VS KOI
Leo,7,Lotus,M8 VS FNC
t3xture,7,Lotus,GEN VS TLN
Deryeon,7,Sunset,BLD VS ZETA
ceNder,7,Bind,VIT VS NAVI
NDG,7,Sunset,TS VS DRX
