Name,Kills,Map,MatchTeams
BeYN,18,Bind,GEN VS DRX
Sayf,18,Icebox,VIT VS FUT
yetujey,18,Icebox,TL VS FUT
crashies,18,Breeze,NRG VS LOUD
QutionerX,18,Split,BBL VS TH
Karon,18,Icebox,GEN VS PRX
MaKo,18,Breeze,T1 VS DRX
BuZz,18,Breeze,T1 VS DRX
Zyppan,18,Lotus,TL VS NAVI
BuZz,18,Ascent,GE VS DRX
SSeeS,18,Split,BLD VS DFM
havoc,18,Icebox,KRU VS FUR
keznit,18,Icebox,KRU VS MIBR
yetujey,18,Bind,KC VS FUT
xccurate,18,Bind,T1 VS PRX
NDG,18,Icebox,TS VS RRQ
pAura,18,Sunset,BBL VS M8
Sayaplayer,18,Ascent,T1 VS RRQ
BORKUM,18,Icebox,TS VS RRQ
Deryeon,18,Sunset,BLD VS ZETA
tomaszy,18,Split,KC VS M8
eeiu,18,Bind,G2 VS 100T
Leo,18,Breeze,M8 VS FNC
nAts,18,Split,KOI VS TL
BORKUM,18,Sunset,TS VS ZETA
Brave,18,Split,BBL VS TH
Cryocells,18,Bind,G2 VS 100T
Fit1nho,18,Breeze,FNC VS GX
cNed,18,Lotus,KC VS FUT
Alfajer,18,Icebox,FNC VS KOI
Cloud,18,Sunset,KC VS GX
trexx,18,Breeze,VIT VS TH
Brave,18,Icebox,BBL VS KOI
MAGNUM,18,Icebox,KC VS M8
valyn,18,Icebox,G2 VS EG
Meiy,18,Sunset,T1 VS DFM
MaKo,18,Bind,T1 VS DRX
Laz,18,Lotus,BLD VS ZETA
Crws,17,Lotus,GEN VS TLN
Karon,17,Lotus,GEN VS TLN
stax,17,Bind,T1 VS DRX
runneR,17,Lotus,VIT VS NAVI
BeYN,17,Ascent,GEN VS DRX
bang,17,Bind,G2 VS 100T
NDG,17,Icebox,TS VS ZETA
N4RRATE,17,Breeze,KC VS GX
pAura,17,Ascent,BBL VS M8
Apoth,17,Sunset,C9 VS EG
heat,17,Sunset,KRU VS MIBR
Russ,17,Ascent,GE VS DRX
xffero,17,Breeze,TS VS RRQ
leaf,17,Lotus,G2 VS EG
