Name,Rating,Map,MatchTeams
cNed,0.94,Icebox,TL VS FUT
hiroronn,0.94,Lotus,BLD VS ZETA
runneR,0.94,Breeze,VIT VS TH
Meteor,0.94,Lotus,GEN VS DFM
purp0,0.94,Lotus,TL VS GX
JessieVash,0.94,Icebox,TS VS ZETA
N4RRATE,0.94,Lotus,KC VS FUT
sheydos,0.94,Split,KOI VS TL
marteen,0.94,Icebox,KC VS M8
artzin,0.94,Icebox,KRU VS MIBR
Estrella,0.93,Lotus,T1 VS RRQ
Boaster,0.93,Bind,FNC VS KOI
JessieVash,0.93,Split,TS VS RRQ
hiroronn,0.93,Lotus,TS VS ZETA
RieNs,0.93,Split,BBL VS TH
Lmemore,0.93,Ascent,T1 VS RRQ
Derrek,0.93,Lotus,G2 VS EG
xccurate,0.93,Bind,T1 VS DRX
Cloud,0.93,Breeze,KC VS GX
frz,0.93,Icebox,KRU VS MIBR
Jremy,0.93,Breeze,TS VS RRQ
havoc,0.93,Icebox,KRU VS FUR
sScary,0.93,Lotus,BLD VS RRQ
eeiu,0.92,Split,SEN VS 100T
logaN,0.92,Sunset,BBL VS M8
Jamppi,0.92,Lotus,TL VS GX
Ethan,0.92,Split,NRG VS FUR
mindfreak,0.92,Bind,T1 VS PRX
Boo,0.92,Split,BBL VS TH
nzr,0.92,Split,NRG VS FUR
stax,0.92,Breeze,T1 VS DRX
Jemkin,0.92,Breeze,TS VS RRQ
xffero,0.92,Icebox,TS VS RRQ
qRaxs,0.92,Breeze,KC VS FUT
moose,0.92,Ascent,C9 VS LEV
yetujey,0.92,Bind,KC VS FUT
Brave,0.92,Breeze,BBL VS KOI
MAGNUM,0.92,Breeze,KC VS FUT
starxo,0.92,Breeze,BBL VS KOI
Keiko,0.92,Split,KOI VS TL
Dep,0.92,Ascent,GE VS ZETA
xccurate,0.92,Bind,T1 VS PRX
NDG,0.92,Icebox,TS VS RRQ
hiroronn,0.92,Icebox,GE VS ZETA
Cryocells,0.92,Split,SEN VS 100T
Jamppi,0.91,Icebox,TL VS FUT
SSeeS,0.91,Lotus,T1 VS DFM
N4RRATE,0.91,Breeze,KC VS FUT
Retla,0.91,Bind,BLD VS TLN
paTiTek,0.91,Split,BBL VS TH
hoody,0.91,Bind,FNC VS GX
xccurate,0.91,Lotus,T1 VS DFM
Deryeon,0.91,Ascent,BLD VS ZETA
moose,0.91,Icebox,C9 VS LEV
Dep,0.91,Sunset,TS VS ZETA
SugarZ3ro,0.91,Icebox,TS VS ZETA
nataNk,0.91,Split,KC VS M8
yuran,0.91,Sunset,TS VS ZETA
Khalil,0.9,Breeze,KRU VS FUR
Enzo,0.9,Icebox,TL VS GX
qRaxs,0.9,Icebox,VIT VS FUT
Rossy,0.9,Ascent,T1 VS DFM
leaf,0.9,Split,G2 VS 100T
Benkai,0.9,Icebox,GE VS ZETA
cNed,0.9,Icebox,VIT VS FUT
icy,0.9,Bind,G2 VS 100T
C0M,0.89,Icebox,C9 VS LEV
Boaster,0.89,Icebox,FNC VS KOI
icy,0.89,Icebox,G2 VS EG
JessieVash,0.89,Icebox,TS VS RRQ
xccurate,0.89,Sunset,T1 VS DFM
Shao,0.89,Split,KC VS NAVI
Shyy,0.89,Icebox,KRU VS FUR
Deryeon,0.89,Icebox,BLD VS RRQ
Melser,0.89,Icebox,KRU VS FUR
ceNder,0.89,Sunset,VIT VS TH
Sayf,0.89,Icebox,VIT VS TH
frz,0.89,Sunset,KRU VS MIBR
ceNder,0.89,Ascent,VIT VS FUT
hiroronn,0.88,Sunset,TS VS ZETA
Crws,0.88,Breeze,GE VS TLN
Sacy,0.88,Lotus,SEN VS LEV
Surf,0.88,Breeze,GE VS TLN
sScary,0.88,Icebox,BLD VS TLN
nAts,0.88,Icebox,TL VS FUT
Sayf,0.88,Lotus,VIT VS NAVI
Enzo,0.88,Icebox,TL VS FUT
Jremy,0.88,Lotus,TS VS DRX
pAura,0.88,Sunset,BBL VS M8
Laz,0.88,Icebox,TS VS ZETA
Derke,0.88,Bind,FNC VS GX
RgLMeister,0.87,Sunset,KRU VS MIBR
moose,0.87,Sunset,C9 VS LEV
sScary,0.87,Sunset,BLD VS ZETA
Fit1nho,0.87,Ascent,TL VS GX
Zyppan,0.87,Split,TL VS NAVI
Polvi,0.87,Breeze,GE VS TLN
Carpe,0.87,Split,T1 VS DRX
paTiTek,0.87,Sunset,BBL VS TH
tex,0.87,Icebox,C9 VS LEV
yetujey,0.87,Sunset,VIT VS FUT
Zellsis,0.87,Lotus,SEN VS LEV
JitBoyS,0.87,Icebox,BLD VS TLN
artzin,0.87,Sunset,KRU VS MIBR
Mistic,0.87,Split,TL VS NAVI
eeiu,0.86,Icebox,SEN VS 100T
Brave,0.86,Sunset,BBL VS TH
yetujey,0.86,Ascent,VIT VS FUT
ardiis,0.86,Lotus,TL VS NAVI
Jemkin,0.86,Lotus,T1 VS RRQ
Derke,0.86,Lotus,FNC VS TH
yuran,0.86,Icebox,GE VS ZETA
ban,0.86,Lotus,BLD VS TLN
Victor,0.86,Breeze,NRG VS LOUD
Klaus,0.85,Lotus,KRU VS FUR
hiroronn,0.85,Ascent,GE VS ZETA
Kicks,0.85,Sunset,VIT VS FUT
RieNs,0.85,Icebox,FNC VS TH
starxo,0.85,Ascent,KOI VS TL
invy,0.85,Breeze,TS VS RRQ
hoody,0.85,Split,FNC VS GX
Sayaplayer,0.85,Bind,T1 VS DRX
fl1pzjder,0.85,Icebox,TS VS RRQ
iZu,0.85,Lotus,T1 VS PRX
purp0,0.85,Ascent,TL VS GX
aspas,0.85,Sunset,C9 VS LEV
MiniBoo,0.85,Split,BBL VS TH
jzz,0.85,Sunset,KRU VS MIBR
AtaKaptan,0.85,Icebox,TL VS FUT
Sayaplayer,0.84,Bind,T1 VS PRX
Carpe,0.84,Sunset,T1 VS DFM
Munchkin,0.84,Lotus,GEN VS PRX
Carpe,0.84,Lotus,T1 VS RRQ
paTiTek,0.84,Icebox,VIT VS TH
t3xture,0.84,Icebox,GEN VS PRX
marteen,0.84,Breeze,KC VS FUT
paTiTek,0.84,Lotus,FNC VS TH
ardiis,0.84,Bind,VIT VS NAVI
Alfajer,0.84,Bind,FNC VS KOI
N4RRATE,0.84,Sunset,KC VS NAVI
bang,0.84,Split,SEN VS 100T
havoc,0.84,Split,NRG VS FUR
BORKUM,0.83,Lotus,TS VS ZETA
MAGNUM,0.83,Bind,KC VS NAVI
Zest,0.83,Lotus,BLD VS TLN
tex,0.83,Lotus,SEN VS LEV
Kicks,0.83,Bind,VIT VS NAVI
Medusa,0.83,Lotus,GEN VS DFM
yay,0.83,Lotus,BLD VS ZETA
RieNs,0.83,Sunset,BBL VS TH
nAts,0.83,Lotus,TL VS GX
Jinggg,0.83,Lotus,GEN VS PRX
hiroronn,0.83,Sunset,BLD VS ZETA
JitBoyS,0.83,Ascent,GEN VS TLN
Keiko,0.83,Split,TL VS FUT
Apoth,0.83,Lotus,G2 VS EG
TakaS,0.83,Ascent,BBL VS M8
NDG,0.83,Lotus,TS VS ZETA
Less,0.83,Sunset,NRG VS LOUD
cauanzin,0.83,Breeze,NRG VS LOUD
Boo,0.82,Sunset,BBL VS TH
mazin,0.82,Icebox,KRU VS MIBR
Benkai,0.82,Ascent,GE VS DRX
paTiTek,0.82,Breeze,VIT VS TH
C0M,0.82,Lotus,SEN VS LEV
ANGE1,0.82,Split,TL VS NAVI
Meteor,0.82,Ascent,GEN VS TLN
kamo,0.82,Bind,FNC VS KOI
sh1n,0.82,Split,KC VS NAVI
RieNs,0.82,Icebox,VIT VS TH
Derrek,0.82,Sunset,C9 VS EG
ban,0.82,Bind,BLD VS TLN
MrFaliN,0.82,Sunset,VIT VS FUT
OXY,0.82,Lotus,C9 VS EG
Boostio,0.81,Split,G2 VS 100T
moose,0.81,Sunset,C9 VS EG
grubinho,0.81,Ascent,KOI VS TL
zekken,0.81,Icebox,SEN VS 100T
Derke,0.81,Split,FNC VS GX
benjyfishy,0.81,Icebox,VIT VS TH
ShadoW,0.81,Breeze,BBL VS KOI
MAGNUM,0.81,Split,KC VS NAVI
saadhak,0.81,Breeze,NRG VS LOUD
ShadoW,0.81,Icebox,FNC VS KOI
starxo,0.8,Icebox,FNC VS KOI
Meteor,0.8,Bind,GEN VS PRX
Mistic,0.8,Split,TL VS FUT
Khalil,0.8,Breeze,NRG VS FUR
Rossy,0.8,Lotus,T1 VS RRQ
purp0,0.8,Icebox,TL VS GX
ShadoW,0.79,Split,KOI VS TL
blaZek1ng,0.79,Icebox,GE VS TLN
Wailers,0.79,Sunset,BBL VS M8
Zest,0.79,Icebox,BLD VS TLN
Fit1nho,0.79,Split,FNC VS GX
Jamppi,0.79,Icebox,TL VS GX
SugarZ3ro,0.79,Icebox,GE VS ZETA
Chronicle,0.79,Icebox,FNC VS TH
Jemkin,0.79,Ascent,T1 VS RRQ
Jremy,0.79,Sunset,TS VS DRX
xffero,0.78,Lotus,T1 VS RRQ
Jamppi,0.78,Ascent,TL VS NAVI
Sayaplayer,0.78,Sunset,T1 VS DFM
hoody,0.78,Icebox,TL VS GX
JessieVash,0.78,Breeze,TS VS RRQ
Mazino,0.78,Ascent,C9 VS LEV
Enzo,0.78,Split,TL VS NAVI
Ethan,0.77,Breeze,NRG VS LOUD
nzr,0.77,Icebox,KRU VS FUR
fl1pzjder,0.77,Ascent,T1 VS RRQ
hoody,0.77,Sunset,KC VS GX
Mazino,0.77,Icebox,SEN VS LEV
mazin,0.77,Sunset,KRU VS MIBR
jawgemo,0.77,Icebox,G2 VS EG
Munchkin,0.77,Bind,GEN VS PRX
yuran,0.77,Sunset,BLD VS ZETA
tex,0.76,Sunset,C9 VS LEV
neth,0.76,Split,GEN VS DFM
runi,0.76,Icebox,C9 VS LEV
qRaxs,0.76,Sunset,VIT VS FUT
reazy,0.76,Sunset,BBL VS M8
hoody,0.76,Ascent,TL VS GX
Sayaplayer,0.76,Split,T1 VS DRX
blaZek1ng,0.76,Breeze,GE VS TLN
Deryeon,0.76,Lotus,BLD VS ZETA
Quick,0.76,Breeze,NRG VS LOUD
Xeppaa,0.76,Lotus,C9 VS EG
yay,0.76,Icebox,BLD VS RRQ
JitBoyS,0.75,Lotus,GEN VS TLN
yay,0.75,Sunset,BLD VS ZETA
sh1n,0.75,Sunset,KC VS NAVI
valyn,0.75,Split,G2 VS 100T
crashies,0.75,Breeze,NRG VS FUR
NDG,0.75,Sunset,TS VS DRX
Jamppi,0.75,Split,TL VS FUT
QutionerX,0.74,Ascent,BBL VS M8
Kicks,0.74,Icebox,VIT VS FUT
iZu,0.74,Bind,T1 VS PRX
Asuna,0.74,Icebox,SEN VS 100T
Rossy,0.74,Breeze,T1 VS DRX
ANGE1,0.74,Lotus,VIT VS NAVI
Estrella,0.74,Icebox,BLD VS RRQ
Kicks,0.74,Lotus,VIT VS NAVI
C0M,0.74,Sunset,C9 VS LEV
MiniBoo,0.74,Lotus,FNC VS TH
ban,0.74,Breeze,GE VS TLN
Xeppaa,0.74,Icebox,C9 VS LEV
Meiy,0.74,Split,GEN VS DFM
ShadoW,0.73,Icebox,BBL VS KOI
Sacy,0.73,Icebox,SEN VS LEV
JonahP,0.73,Split,G2 VS 100T
vanity,0.73,Ascent,C9 VS LEV
Jamppi,0.73,Split,TL VS NAVI
Crws,0.72,Icebox,GE VS TLN
TenZ,0.72,Lotus,SEN VS LEV
Keiko,0.72,Ascent,TL VS NAVI
tomaszy,0.72,Breeze,KC VS FUT
Fit1nho,0.72,Bind,FNC VS GX
t3xture,0.72,Bind,GEN VS PRX
Shao,0.72,Bind,KC VS NAVI
nAts,0.72,Ascent,TL VS NAVI
sh1n,0.72,Bind,KC VS NAVI
Foxy9,0.72,Bind,T1 VS DRX
Carpe,0.71,Breeze,T1 VS DRX
Wailers,0.71,Icebox,KC VS M8
beyAz,0.71,Breeze,M8 VS FNC
Benkai,0.71,Lotus,GE VS TLN
nAts,0.71,Ascent,TL VS GX
nAts,0.71,Split,TL VS FUT
grubinho,0.71,Icebox,BBL VS KOI
logaN,0.71,Split,KC VS M8
Meteor,0.7,Icebox,GEN VS PRX
yuran,0.7,Icebox,TS VS ZETA
marteen,0.7,Sunset,KC VS GX
Redgar,0.7,Bind,FNC VS GX
C0M,0.7,Ascent,C9 VS LEV
xccurate,0.7,Ascent,T1 VS DFM
johnqt,0.7,Icebox,SEN VS LEV
Surf,0.7,Lotus,GE VS TLN
trexx,0.69,Sunset,VIT VS TH
Alfajer,0.69,Breeze,M8 VS FNC
Surf,0.69,Lotus,BLD VS TLN
QutionerX,0.69,Breeze,BBL VS KOI
BORKUM,0.69,Sunset,TS VS DRX
sheydos,0.69,Breeze,BBL VS KOI
iZu,0.69,Ascent,T1 VS DFM
runneR,0.69,Sunset,VIT VS TH
xffero,0.69,Ascent,T1 VS RRQ
mwzera,0.69,Breeze,KRU VS FUR
Lakia,0.68,Bind,GEN VS PRX
supamen,0.68,Lotus,G2 VS EG
JitBoyS,0.68,Icebox,GE VS TLN
Foxy9,0.68,Breeze,T1 VS DRX
Crws,0.68,Ascent,GEN VS TLN
starxo,0.68,Split,KOI VS TL
Retla,0.68,Lotus,BLD VS RRQ
nzr,0.67,Breeze,KRU VS FUR
SSeeS,0.67,Split,GEN VS DFM
blaZek1ng,0.67,Ascent,GE VS DRX
Anthem,0.67,Lotus,GEN VS DFM
Polvi,0.67,Lotus,GE VS TLN
Leo,0.67,Breeze,FNC VS GX
TakaS,0.67,Icebox,KC VS M8
Derrek,0.67,Split,C9 VS EG
marteen,0.67,Lotus,KC VS FUT
Khalil,0.67,Lotus,KRU VS FUR
OXY,0.67,Icebox,C9 VS LEV
invy,0.66,Lotus,TS VS ZETA
Medusa,0.66,Lotus,T1 VS DFM
jawgemo,0.66,Split,C9 VS EG
JessieVash,0.66,Lotus,TS VS DRX
kon4n,0.66,Lotus,KRU VS FUR
AtaKaptan,0.66,Bind,KC VS FUT
Wailers,0.65,Breeze,M8 VS FNC
logaN,0.65,Lotus,M8 VS FNC
sh1n,0.65,Breeze,KC VS FUT
reazy,0.65,Ascent,BBL VS M8
Chronicle,0.65,Breeze,FNC VS GX
icy,0.65,Lotus,G2 VS EG
hoody,0.65,Breeze,KC VS GX
Brave,0.65,Ascent,BBL VS M8
Lightningfast,0.64,Lotus,GE VS DRX
ShadoW,0.64,Bind,FNC VS KOI
stax,0.64,Ascent,GE VS DRX
Redgar,0.64,Lotus,TL VS GX
Mistic,0.64,Icebox,TL VS FUT
benjyfishy,0.64,Split,BBL VS TH
MAGNUM,0.64,Lotus,KC VS FUT
blaZek1ng,0.64,Lotus,GE VS DRX
mwzera,0.64,Lotus,KRU VS FUR
kon4n,0.63,Breeze,KRU VS FUR
RgLMeister,0.63,Icebox,KRU VS MIBR
Cloud,0.63,Split,FNC VS GX
Redgar,0.63,Split,FNC VS GX
Rossy,0.63,Split,T1 VS DRX
Enzo,0.63,Split,TL VS FUT
marteen,0.63,Sunset,KC VS NAVI
NaturE,0.63,Split,C9 VS EG
Zest,0.63,Bind,BLD VS TLN
neth,0.62,Lotus,T1 VS DFM
blaZek1ng,0.62,Sunset,GE VS ZETA
Dep,0.62,Ascent,BLD VS ZETA
kamo,0.62,Ascent,KOI VS TL
tuyz,0.62,Sunset,NRG VS LOUD
Klaus,0.62,Icebox,KRU VS FUR
Asuna,0.61,Bind,G2 VS 100T
pAura,0.61,Icebox,BBL VS KOI
Polvi,0.61,Ascent,GE VS ZETA
SugarZ3ro,0.61,Sunset,TS VS ZETA
Cloud,0.61,Bind,FNC VS GX
Khalil,0.61,Split,NRG VS FUR
Deryeon,0.61,Bind,BLD VS TLN
Apoth,0.61,Split,C9 VS EG
jawgemo,0.61,Sunset,C9 VS EG
saadhak,0.61,Sunset,NRG VS LOUD
Fit1nho,0.6,Breeze,KC VS GX
fl1pzjder,0.6,Split,TS VS RRQ
N4RRATE,0.6,Split,KC VS NAVI
vanity,0.6,Icebox,C9 VS LEV
havoc,0.6,Breeze,KRU VS FUR
icy,0.6,Split,G2 VS 100T
Governor,0.6,Ascent,GEN VS TLN
Zyppan,0.59,Sunset,KC VS NAVI
starxo,0.59,Icebox,BBL VS KOI
Boo,0.59,Icebox,VIT VS TH
Zyppan,0.59,Bind,VIT VS NAVI
beyAz,0.59,Split,KC VS M8
cauanzin,0.59,Sunset,NRG VS LOUD
havoc,0.58,Lotus,KRU VS FUR
trexx,0.58,Lotus,VIT VS NAVI
Carpe,0.58,Bind,T1 VS DRX
yay,0.58,Lotus,BLD VS RRQ
Zest,0.58,Icebox,BLD VS RRQ
zekken,0.58,Lotus,SEN VS LEV
Boaster,0.57,Breeze,FNC VS GX
neth,0.57,Lotus,GEN VS DFM
blaZek1ng,0.57,Icebox,GE VS ZETA
supamen,0.57,Icebox,G2 VS EG
ANGE1,0.56,Bind,KC VS NAVI
Karon,0.56,Lotus,GEN VS PRX
fl1pzjder,0.55,Icebox,BLD VS RRQ
TakaS,0.55,Split,KC VS M8
AtaKaptan,0.55,Sunset,VIT VS FUT
Alfajer,0.55,Icebox,FNC VS TH
Polvi,0.55,Sunset,GE VS ZETA
Lmemore,0.54,Split,TS VS RRQ
supamen,0.54,Sunset,C9 VS EG
Mazino,0.54,Sunset,C9 VS LEV
kamo,0.54,Icebox,FNC VS KOI
Deryeon,0.53,Lotus,BLD VS RRQ
Quick,0.53,Sunset,NRG VS LOUD
Carpe,0.53,Lotus,T1 VS PRX
jawgemo,0.53,Lotus,G2 VS EG
Brave,0.53,Sunset,BBL VS M8
fl1pzjder,0.53,Lotus,T1 VS RRQ
iZu,0.53,Bind,T1 VS DRX
Cloud,0.53,Icebox,TL VS GX
Surf,0.53,Lotus,GEN VS TLN
xccurate,0.52,Split,T1 VS DRX
Governor,0.52,Lotus,BLD VS TLN
Lightningfast,0.52,Sunset,GE VS ZETA
tomaszy,0.51,Lotus,KC VS FUT
Boaster,0.51,Icebox,FNC VS TH
ban,0.5,Icebox,GE VS TLN
sheydos,0.5,Icebox,FNC VS KOI
Wailers,0.5,Split,KC VS M8
kon4n,0.5,Split,NRG VS FUR
beyAz,0.5,Lotus,M8 VS FNC
supamen,0.49,Split,C9 VS EG
hiroronn,0.49,Ascent,BLD VS ZETA
benjyfishy,0.49,Breeze,VIT VS TH
vanity,0.49,Lotus,C9 VS EG
havoc,0.48,Breeze,NRG VS FUR
Boostio,0.48,Icebox,SEN VS 100T
Redgar,0.47,Breeze,KC VS GX
SSeeS,0.47,Lotus,GEN VS DFM
TakaS,0.47,Breeze,M8 VS FNC
mwzera,0.47,Split,NRG VS FUR
Anthem,0.46,Lotus,T1 VS DFM
Polvi,0.45,Lotus,GE VS DRX
Russ,0.45,Lotus,GE VS TLN
MiniBoo,0.44,Sunset,BBL VS TH
Russ,0.43,Sunset,GE VS ZETA
purp0,0.43,Breeze,KC VS GX
Derrek,0.42,Icebox,G2 VS EG
NDG,0.42,Lotus,TS VS DRX
Mistic,0.42,Ascent,TL VS NAVI
Surf,0.42,Icebox,GE VS TLN
Retla,0.42,Icebox,BLD VS RRQ
Estrella,0.42,Split,TS VS RRQ
Estrella,0.42,Ascent,T1 VS RRQ
Boo,0.41,Sunset,VIT VS TH
Boostio,0.4,Split,SEN VS 100T
iZu,0.38,Split,T1 VS DRX
TakaS,0.35,Lotus,M8 VS FNC
kamo,0.35,Breeze,BBL VS KOI
Benkai,0.33,Sunset,GE VS ZETA
runneR,0.33,Ascent,VIT VS FUT
Derke,0.3,Breeze,FNC VS GX
Retla,0.3,Icebox,BLD VS TLN
Redgar,0.29,Sunset,KC VS GX
ceNder,0.28,Lotus,VIT VS NAVI
Zest,0.28,Lotus,BLD VS RRQ
Wailers,0.28,Lotus,M8 VS FNC
ANGE1,0.24,Lotus,TL VS NAVI
beyAz,0.16,Icebox,KC VS M8
Apoth,0.12,Icebox,G2 VS EG
JessieVash,0.09,Lotus,TS VS ZETA
