Name,Rating,Map,MatchTeams
Fit1nho,1.44,Breeze,FNC VS GX
Fit1nho,1.44,Sunset,KC VS GX
Elite,1.44,Icebox,BBL VS KOI
Meiy,1.44,Lotus,GEN VS DFM
Zyppan,1.44,Ascent,TL VS NAVI
runi,1.43,Sunset,C9 VS LEV
crashies,1.43,Sunset,NRG VS LOUD
AtaKaptan,1.43,Breeze,KC VS FUT
Enzo,1.43,Ascent,TL VS GX
tomaszy,1.43,Icebox,KC VS M8
reazy,1.43,Breeze,BBL VS KOI
Brave,1.42,Split,BBL VS TH
yuran,1.42,Sunset,GE VS ZETA
nAts,1.42,Lotus,TL VS NAVI
mindfreak,1.42,Bind,GEN VS PRX
qRaxs,1.42,Lotus,KC VS FUT
JonahP,1.42,Icebox,G2 VS EG
Lightningfast,1.42,Icebox,GE VS ZETA
sScary,1.42,Lotus,BLD VS TLN
QutionerX,1.41,Icebox,BBL VS KOI
Lmemore,1.41,Lotus,BLD VS RRQ
MaKo,1.41,Ascent,GE VS DRX
BORKUM,1.41,Sunset,TS VS ZETA
something,1.41,Bind,GEN VS PRX
tomaszy,1.41,Sunset,KC VS GX
nzr,1.4,Lotus,KRU VS FUR
Foxy9,1.4,Ascent,GE VS DRX
t3xture,1.4,Ascent,GEN VS TLN
Zyppan,1.4,Lotus,VIT VS NAVI
Carpe,1.4,Lotus,T1 VS DFM
iZu,1.4,Lotus,T1 VS DFM
stax,1.39,Split,T1 VS DRX
hoody,1.39,Lotus,TL VS GX
xccurate,1.39,Lotus,T1 VS RRQ
Shao,1.39,Split,TL VS NAVI
invy,1.39,Icebox,TS VS ZETA
SugarZ3ro,1.39,Sunset,BLD VS ZETA
cNed,1.39,Split,TL VS FUT
Alfajer,1.39,Split,FNC VS GX
Derke,1.39,Breeze,M8 VS FNC
keznit,1.38,Lotus,KRU VS FUR
Leo,1.38,Breeze,M8 VS FNC
Shao,1.38,Sunset,KC VS NAVI
JonahP,1.38,Lotus,G2 VS EG
Leo,1.38,Split,FNC VS GX
iZu,1.37,Ascent,T1 VS RRQ
Shyy,1.37,Breeze,KRU VS FUR
marteen,1.37,Breeze,KC VS GX
xffero,1.37,Lotus,BLD VS RRQ
SUYGETSU,1.37,Lotus,VIT VS NAVI
Alfajer,1.37,Lotus,M8 VS FNC
kiNgg,1.37,Ascent,C9 VS LEV
BuZz,1.37,Split,T1 VS DRX
Chronicle,1.36,Split,FNC VS GX
MAGNUM,1.36,Icebox,KC VS M8
ANGE1,1.36,Ascent,TL VS NAVI
Mistic,1.36,Ascent,KOI VS TL
JessieVash,1.36,Sunset,TS VS ZETA
SugarZ3ro,1.36,Sunset,GE VS ZETA
Estrella,1.36,Lotus,BLD VS RRQ
yetujey,1.35,Breeze,KC VS FUT
Xeppaa,1.35,Sunset,C9 VS LEV
Alfajer,1.35,Bind,FNC VS GX
qRaxs,1.35,Icebox,TL VS FUT
Zellsis,1.35,Split,SEN VS 100T
heat,1.35,Lotus,KRU VS FUR
Redgar,1.35,Breeze,FNC VS GX
crashies,1.35,Split,NRG VS FUR
runneR,1.35,Icebox,VIT VS TH
trexx,1.35,Sunset,VIT VS FUT
stax,1.35,Bind,T1 VS DRX
mindfreak,1.35,Lotus,GEN VS PRX
sh1n,1.35,Bind,KC VS FUT
Cryocells,1.34,Bind,G2 VS 100T
ban,1.34,Icebox,BLD VS TLN
BORKUM,1.34,Split,TS VS RRQ
Mazino,1.34,Icebox,C9 VS LEV
BeYN,1.34,Sunset,TS VS DRX
valyn,1.34,Lotus,G2 VS EG
Rossy,1.34,Sunset,T1 VS DFM
hiroronn,1.34,Sunset,GE VS ZETA
MiniBoo,1.34,Icebox,VIT VS TH
JitBoyS,1.34,Breeze,GE VS TLN
Chronicle,1.33,Icebox,FNC VS KOI
Karon,1.33,Lotus,GEN VS DFM
purp0,1.33,Breeze,FNC VS GX
bang,1.33,Split,G2 VS 100T
Russ,1.33,Icebox,GE VS TLN
trent,1.33,Lotus,G2 VS EG
Marved,1.33,Breeze,NRG VS LOUD
cNed,1.33,Lotus,KC VS FUT
yuran,1.33,Lotus,TS VS ZETA
OXY,1.33,Ascent,C9 VS LEV
TakaS,1.33,Sunset,BBL VS M8
Jamppi,1.32,Ascent,TL VS GX
Leo,1.32,Icebox,FNC VS KOI
leaf,1.32,Lotus,G2 VS EG
BORKUM,1.32,Icebox,TS VS ZETA
Laz,1.32,Lotus,BLD VS ZETA
Sayaplayer,1.32,Lotus,T1 VS DFM
SUYGETSU,1.32,Lotus,TL VS NAVI
