Name,First Kills,Map,MatchTeams
hoody,3,Breeze,KC VS GX
Fit1nho,3,Icebox,TL VS GX
MrFaliN,3,Breeze,KC VS FUT
Polvi,3,Lotus,GE VS TLN
TakaS,3,Icebox,KC VS M8
Fit1nho,3,Bind,FNC VS GX
starxo,3,Split,KOI VS TL
Boaster,3,Bind,FNC VS KOI
Foxy9,3,Breeze,T1 VS DRX
Rossy,3,Bind,T1 VS PRX
kon4n,3,Icebox,KRU VS FUR
something,3,Bind,T1 VS PRX
C0M,3,Ascent,C9 VS LEV
t3xture,3,Bind,GEN VS PRX
BuZz,3,Lotus,GE VS DRX
Dep,3,Ascent,GE VS ZETA
Keiko,3,Icebox,TL VS FUT
yay,3,Lotus,BLD VS DFM
ardiis,3,Ascent,TL VS NAVI
grubinho,3,Icebox,BBL VS KOI
NDG,3,Icebox,TS VS ZETA
Zyppan,3,Bind,KC VS NAVI
starxo,3,Breeze,BBL VS KOI
Jamppi,3,Ascent,KOI VS TL
Boaster,3,Breeze,M8 VS FNC
starxo,3,Bind,FNC VS KOI
Jemkin,3,Icebox,BLD VS RRQ
Foxy9,3,Sunset,TS VS DRX
iZu,3,Bind,T1 VS DRX
jawgemo,3,Lotus,G2 VS EG
BuZz,3,Bind,GEN VS DRX
Quick,3,Sunset,NRG VS LOUD
Meteor,3,Lotus,GEN VS DFM
kamo,3,Icebox,FNC VS KOI
Polvi,3,Sunset,GE VS ZETA
ANGE1,3,Bind,KC VS NAVI
tomaszy,3,Bind,KC VS FUT
havoc,3,Icebox,KRU VS FUR
Cloud,3,Lotus,TL VS GX
AtaKaptan,3,Lotus,KC VS FUT
N4RRATE,3,Split,KC VS NAVI
fl1pzjder,3,Split,TS VS RRQ
pAura,3,Icebox,BBL VS KOI
Polvi,3,Ascent,GE VS ZETA
marteen,3,Sunset,KC VS NAVI
Meiy,3,Lotus,T1 VS DFM
Medusa,3,Ascent,T1 VS DFM
purp0,3,Bind,FNC VS GX
Mistic,3,Icebox,TL VS FUT
xffero,3,Breeze,TS VS RRQ
yetujey,3,Icebox,VIT VS FUT
Brave,3,Ascent,BBL VS M8
valyn,3,Split,G2 VS 100T
ANGE1,3,Lotus,VIT VS NAVI
Governor,3,Breeze,GE VS TLN
Keiko,3,Split,TL VS FUT
TakaS,3,Ascent,BBL VS M8
Jinggg,3,Lotus,GEN VS PRX
Governor,3,Lotus,GEN VS TLN
