Name,HS Rate,Map,MatchTeams
SugarZ3ro,0.31,Ascent,GE VS ZETA
kamo,0.31,Icebox,FNC VS KOI
Derke,0.31,Lotus,FNC VS TH
keznit,0.31,Breeze,KRU VS FUR
Estrella,0.31,Breeze,TS VS RRQ
ANGE1,0.31,Sunset,KC VS NAVI
purp0,0.31,Ascent,TL VS GX
Derrek,0.31,Lotus,C9 VS EG
ban,0.31,Ascent,GEN VS TLN
purp0,0.31,Split,FNC VS GX
Anthem,0.31,Ascent,T1 VS DFM
Sayf,0.3,Sunset,VIT VS TH
t3xture,0.3,Lotus,GEN VS PRX
neth,0.3,Sunset,T1 VS DFM
BeYN,0.3,Breeze,T1 VS DRX
stax,0.3,Sunset,TS VS DRX
BeYN,0.3,Ascent,GE VS DRX
Lmemore,0.3,Icebox,BLD VS RRQ
Carpe,0.3,Bind,T1 VS PRX
valyn,0.3,Lotus,G2 VS EG
vanity,0.3,Sunset,C9 VS LEV
ANGE1,0.3,Bind,KC VS NAVI
moose,0.3,Icebox,C9 VS LEV
Jamppi,0.3,Icebox,TL VS FUT
hoody,0.3,Bind,FNC VS GX
Sayaplayer,0.3,Sunset,T1 VS DFM
Karon,0.3,Ascent,GEN VS TLN
Enzo,0.3,Icebox,TL VS GX
pAura,0.3,Sunset,BBL VS M8
Cloud,0.3,Icebox,TL VS GX
Cryocells,0.3,Bind,G2 VS 100T
tex,0.3,Icebox,C9 VS LEV
BeYN,0.3,Lotus,GE VS DRX
JessieVash,0.3,Sunset,TS VS ZETA
Alfajer,0.3,Lotus,M8 VS FNC
keznit,0.3,Lotus,KRU VS FUR
hoody,0.3,Split,FNC VS GX
Carpe,0.3,Sunset,T1 VS DFM
Retla,0.3,Icebox,BLD VS RRQ
tomaszy,0.3,Split,KC VS M8
RieNs,0.3,Icebox,VIT VS TH
qRaxs,0.3,Ascent,VIT VS FUT
ban,0.3,Lotus,GE VS TLN
RieNs,0.3,Sunset,BBL VS TH
Xeppaa,0.3,Lotus,C9 VS EG
MiniBoo,0.3,Sunset,VIT VS TH
ceNder,0.3,Icebox,VIT VS TH
BuZz,0.3,Ascent,GE VS DRX
Lmemore,0.3,Icebox,TS VS RRQ
aspas,0.3,Icebox,C9 VS LEV
Keiko,0.3,Ascent,TL VS NAVI
Boostio,0.3,Bind,G2 VS 100T
kon4n,0.3,Breeze,NRG VS FUR
trexx,0.3,Bind,VIT VS NAVI
Dep,0.3,Lotus,BLD VS ZETA
heat,0.3,Icebox,KRU VS MIBR
valyn,0.3,Split,G2 VS 100T
Sayf,0.3,Ascent,VIT VS FUT
Klaus,0.3,Sunset,KRU VS MIBR
Lightningfast,0.3,Breeze,GE VS TLN
Keiko,0.3,Lotus,TL VS NAVI
hiroronn,0.3,Icebox,GE VS ZETA
Chronicle,0.3,Bind,FNC VS KOI
xccurate,0.3,Bind,T1 VS DRX
purp0,0.29,Lotus,TL VS GX
RieNs,0.29,Split,BBL VS TH
nAts,0.29,Lotus,TL VS GX
kamo,0.29,Split,KOI VS TL
Estrella,0.29,Lotus,T1 VS RRQ
AtaKaptan,0.29,Icebox,VIT VS FUT
Deryeon,0.29,Lotus,BLD VS ZETA
Rossy,0.29,Lotus,T1 VS RRQ
Retla,0.29,Bind,BLD VS TLN
Benkai,0.29,Breeze,GE VS TLN
grubinho,0.29,Ascent,KOI VS TL
hoody,0.29,Icebox,TL VS GX
yuran,0.29,Ascent,BLD VS ZETA
Rossy,0.29,Lotus,T1 VS PRX
cNed,0.29,Icebox,TL VS FUT
Crws,0.29,Lotus,BLD VS TLN
Zest,0.29,Lotus,BLD VS TLN
Jamppi,0.29,Ascent,TL VS GX
fl1pzjder,0.29,Lotus,BLD VS RRQ
Lightningfast,0.29,Icebox,GE VS ZETA
Redgar,0.29,Breeze,KC VS GX
Cloud,0.29,Breeze,FNC VS GX
Less,0.29,Breeze,NRG VS LOUD
hoody,0.29,Breeze,KC VS GX
Polvi,0.29,Ascent,GE VS DRX
Dep,0.29,Icebox,GE VS ZETA
Derke,0.29,Breeze,M8 VS FNC
sScary,0.29,Bind,BLD VS TLN
