Name,Kills,MatchTeams,Date
Surf,36,BLD VS TLN,April 7th 2024
ANGE1,36,TL VS NAVI,April 11th 2024
Boo,36,FNC VS TH,April 4th 2024
Foxy9,36,GE VS DRX,April 8th 2024
paTiTek,36,VIT VS TH,April 10th 2024
N4RRATE,36,KC VS GX,April 3rd 2024
runneR,36,VIT VS NAVI,April 4th 2024
Carpe,36,T1 VS PRX,April 7th 2024
Mazino,36,SEN VS LEV,April 13th 2024
N4RRATE,36,KC VS FUT,April 10th 2024
Benkai,35,GE VS ZETA,April 6th 2024
xccurate,35,T1 VS DFM,April 9th 2024
SSeeS,35,T1 VS DFM,April 9th 2024
MAGNUM,35,KC VS FUT,April 10th 2024
johnqt,35,SEN VS LEV,April 13th 2024
JessieVash,35,TS VS RRQ,April 8th 2024
Sayaplayer,35,T1 VS PRX,April 7th 2024
pAura,35,BBL VS M8,April 5th 2024
BuZz,35,GE VS DRX,April 8th 2024
Elite,35,BBL VS TH,April 18th 2024
grubinho,35,FNC VS KOI,April 19th 2024
Derrek,35,C9 VS EG,April 15th 2024
Leo,35,FNC VS GX,April 12th 2024
trent,35,G2 VS 100T,April 13th 2024
t3xture,35,GEN VS DFM,April 15th 2024
hoody,35,FNC VS GX,April 12th 2024
NaturE,35,C9 VS EG,April 15th 2024
ban,35,GEN VS TLN,April 9th 2024
Elite,34,BBL VS KOI,April 11th 2024
Cryocells,34,G2 VS 100T,April 13th 2024
tomaszy,34,KC VS M8,April 12th 2024
blaZek1ng,34,GE VS TLN,April 15th 2024
crashies,34,NRG VS LOUD,April 6th 2024
ANGE1,34,VIT VS NAVI,April 4th 2024
BuZz,34,TS VS DRX,April 6th 2024
sheydos,34,KOI VS TL,April 3rd 2024
hiroronn,34,BLD VS ZETA,April 16th 2024
xccurate,34,T1 VS DRX,April 13th 2024
zekken,34,SEN VS 100T,April 7th 2024
Chronicle,34,M8 VS FNC,April 17th 2024
iZu,34,T1 VS RRQ,April 16th 2024
cNed,34,TL VS FUT,April 5th 2024
RieNs,34,FNC VS TH,April 4th 2024
Lmemore,34,T1 VS RRQ,April 16th 2024
Estrella,34,TS VS RRQ,April 8th 2024
MaKo,34,GE VS DRX,April 8th 2024
JonahP,33,G2 VS EG,April 7th 2024
tomaszy,33,KC VS FUT,April 10th 2024
Marved,33,NRG VS LOUD,April 6th 2024
Jamppi,33,KOI VS TL,April 3rd 2024
benjyfishy,33,BBL VS TH,April 18th 2024
eeiu,33,G2 VS 100T,April 13th 2024
Alfajer,33,FNC VS TH,April 4th 2024
Alfajer,33,FNC VS KOI,April 19th 2024
Klaus,33,KRU VS FUR,April 8th 2024
MAGNUM,33,KC VS NAVI,April 17th 2024
Russ,33,GE VS DRX,April 8th 2024
Keiko,33,TL VS FUT,April 5th 2024
Kicks,33,VIT VS FUT,April 18th 2024
C0M,33,SEN VS LEV,April 13th 2024
Crws,33,BLD VS TLN,April 7th 2024
trent,33,G2 VS EG,April 7th 2024
Anthem,33,T1 VS DFM,April 9th 2024
leaf,32,G2 VS EG,April 7th 2024
Chronicle,32,FNC VS KOI,April 19th 2024
Polvi,32,GE VS ZETA,April 6th 2024
nataNk,32,M8 VS FNC,April 17th 2024
Fit1nho,32,KC VS GX,April 3rd 2024
Keiko,32,KOI VS TL,April 3rd 2024
MaKo,32,TS VS DRX,April 6th 2024
BeYN,32,TS VS DRX,April 6th 2024
Derke,32,FNC VS GX,April 12th 2024
logaN,32,KC VS M8,April 12th 2024
C0M,32,C9 VS LEV,April 6th 2024
kon4n,32,KRU VS FUR,April 8th 2024
AtaKaptan,32,VIT VS FUT,April 18th 2024
xccurate,31,T1 VS RRQ,April 16th 2024
