Name,ADR,MatchTeams,Date
Retla,90.0,BLD VS RRQ,April 14th 2024
supamen,90.0,G2 VS EG,April 7th 2024
Brave,89.0,BBL VS M8,April 5th 2024
Redgar,88.67,FNC VS GX,April 12th 2024
Retla,87.67,BLD VS TLN,April 7th 2024
RgLMeister,87.5,KRU VS MIBR,April 14th 2024
starxo,87.5,KOI VS TL,April 3rd 2024
Surf,86.67,GE VS TLN,April 15th 2024
Apoth,86.0,G2 VS EG,April 7th 2024
mazin,85.5,KRU VS MIBR,April 14th 2024
BORKUM,85.0,TS VS DRX,April 6th 2024
logaN,84.0,BBL VS M8,April 5th 2024
vanity,83.33,C9 VS EG,April 15th 2024
Foxy9,83.33,T1 VS DRX,April 13th 2024
TakaS,83.0,M8 VS FNC,April 17th 2024
fl1pzjder,82.0,T1 VS RRQ,April 16th 2024
sh1n,81.67,KC VS NAVI,April 17th 2024
fl1pzjder,80.0,BLD VS RRQ,April 14th 2024
Boo,80.0,VIT VS TH,April 10th 2024
sheydos,79.0,FNC VS KOI,April 19th 2024
ceNder,79.0,VIT VS NAVI,April 4th 2024
neth,78.67,BLD VS DFM,April 20th 2024
Zest,75.5,BLD VS RRQ,April 14th 2024
Wailers,71.0,KC VS M8,April 12th 2024
neth,70.0,GEN VS DFM,April 15th 2024
Boaster,63.5,FNC VS KOI,April 19th 2024
SSeeS,60.5,GEN VS DFM,April 15th 2024
Boostio,57.0,SEN VS 100T,April 7th 2024
Redgar,55.0,KC VS GX,April 3rd 2024
Wailers,48.5,M8 VS FNC,April 17th 2024
Surf,44.0,GEN VS TLN,April 9th 2024
