Name,Kast,MatchTeams,Date
grubinho,0.78,BBL VS KOI,April 11th 2024
reazy,0.78,BBL VS KOI,April 11th 2024
t3xture,0.78,GEN VS TLN,April 9th 2024
Shyy,0.78,KRU VS FUR,April 8th 2024
Boaster,0.78,FNC VS GX,April 12th 2024
Chronicle,0.78,FNC VS GX,April 12th 2024
Medusa,0.78,GEN VS DFM,April 15th 2024
Karon,0.78,GEN VS DFM,April 15th 2024
Boaster,0.78,M8 VS FNC,April 17th 2024
Ethan,0.78,NRG VS FUR,April 14th 2024
Sayf,0.78,VIT VS TH,April 10th 2024
Leo,0.78,FNC VS GX,April 12th 2024
Xeppaa,0.78,C9 VS LEV,April 6th 2024
Zyppan,0.78,TL VS NAVI,April 11th 2024
RieNs,0.78,VIT VS TH,April 10th 2024
Alfajer,0.78,FNC VS KOI,April 19th 2024
grubinho,0.78,FNC VS KOI,April 19th 2024
Carpe,0.78,T1 VS RRQ,April 16th 2024
nataNk,0.78,BBL VS M8,April 5th 2024
BuZz,0.78,GE VS DRX,April 8th 2024
mindfreak,0.77,T1 VS PRX,April 7th 2024
marteen,0.77,KC VS GX,April 3rd 2024
Shyy,0.77,KRU VS MIBR,April 14th 2024
Xeppaa,0.77,C9 VS EG,April 15th 2024
Rossy,0.77,T1 VS DFM,April 9th 2024
aspas,0.77,SEN VS LEV,April 13th 2024
Leo,0.77,FNC VS TH,April 4th 2024
Lightningfast,0.77,GE VS TLN,April 15th 2024
d4v41,0.77,GEN VS PRX,April 13th 2024
Meiy,0.77,T1 VS DFM,April 9th 2024
benjyfishy,0.77,FNC VS TH,April 4th 2024
Redgar,0.77,TL VS GX,April 19th 2024
cNed,0.77,VIT VS FUT,April 18th 2024
Laz,0.77,BLD VS ZETA,April 16th 2024
kiNgg,0.77,C9 VS LEV,April 6th 2024
NDG,0.77,TS VS RRQ,April 8th 2024
Jremy,0.77,TS VS ZETA,April 14th 2024
yuran,0.77,TS VS ZETA,April 14th 2024
Jemkin,0.77,TS VS RRQ,April 8th 2024
kiNgg,0.77,SEN VS LEV,April 13th 2024
grubinho,0.77,KOI VS TL,April 3rd 2024
yetujey,0.77,TL VS FUT,April 5th 2024
