Name,HS Rate,MatchTeams,Date
kamo,0.28,BBL VS KOI,April 11th 2024
d4v41,0.28,T1 VS PRX,April 7th 2024
something,0.28,T1 VS PRX,April 7th 2024
Jamppi,0.28,KOI VS TL,April 3rd 2024
xffero,0.28,BLD VS RRQ,April 14th 2024
Derke,0.28,FNC VS TH,April 4th 2024
yay,0.27,BLD VS TLN,April 7th 2024
NDG,0.27,TS VS ZETA,April 14th 2024
Klaus,0.27,KRU VS FUR,April 8th 2024
Governor,0.27,GE VS TLN,April 15th 2024
OXY,0.27,C9 VS LEV,April 6th 2024
Jamppi,0.27,TL VS GX,April 19th 2024
Less,0.27,NRG VS LOUD,April 6th 2024
zekken,0.27,SEN VS 100T,April 7th 2024
qRaxs,0.27,KC VS FUT,April 10th 2024
Rossy,0.27,T1 VS PRX,April 7th 2024
valyn,0.27,G2 VS 100T,April 13th 2024
Jremy,0.27,TS VS ZETA,April 14th 2024
fl1pzjder,0.27,TS VS RRQ,April 8th 2024
N4RRATE,0.27,KC VS FUT,April 10th 2024
eeiu,0.27,G2 VS 100T,April 13th 2024
MrFaliN,0.27,TL VS FUT,April 5th 2024
Xeppaa,0.27,C9 VS EG,April 15th 2024
mazin,0.27,KRU VS MIBR,April 14th 2024
sScary,0.27,BLD VS TLN,April 7th 2024
iZu,0.27,T1 VS DRX,April 13th 2024
tex,0.27,SEN VS LEV,April 13th 2024
Jamppi,0.27,TL VS FUT,April 5th 2024
marteen,0.27,KC VS M8,April 12th 2024
Zellsis,0.27,SEN VS 100T,April 7th 2024
mwzera,0.27,NRG VS FUR,April 14th 2024
Leo,0.27,FNC VS KOI,April 19th 2024
Victor,0.27,NRG VS LOUD,April 6th 2024
Lightningfast,0.27,GE VS DRX,April 8th 2024
Boo,0.27,BBL VS TH,April 18th 2024
Benkai,0.26,GE VS ZETA,April 6th 2024
paTiTek,0.26,VIT VS TH,April 10th 2024
xccurate,0.26,T1 VS DRX,April 13th 2024
yuran,0.26,GE VS ZETA,April 6th 2024
ardiis,0.26,TL VS NAVI,April 11th 2024
iZu,0.26,T1 VS DFM,April 9th 2024
OXY,0.26,C9 VS EG,April 15th 2024
yetujey,0.26,VIT VS FUT,April 18th 2024
MrFaliN,0.26,VIT VS FUT,April 18th 2024
