Team,Rating,MatchTeams,Map
FNC,0.752,FNC VS TH,Icebox
TL,0.75,TL VS NAVI,Ascent
M8,0.748,KC VS M8,Icebox
KOI,0.744,BBL VS KOI,Breeze
TL,0.744,TL VS FUT,Split
C9,0.736,C9 VS LEV,Icebox
KOI,0.726,FNC VS KOI,Icebox
BLD,0.726,BLD VS RRQ,Icebox
RRQ,0.72,T1 VS RRQ,Ascent
VIT,0.716,VIT VS NAVI,Lotus
TS,0.71,TS VS ZETA,Lotus
FUR,0.6980000000000001,KRU VS FUR,Breeze
TLN,0.6799999999999999,GE VS TLN,Icebox
DFM,0.67,BLD VS DFM,Ascent
FUR,0.6679999999999999,NRG VS FUR,Split
M8,0.6519999999999999,KC VS M8,Split
LOUD,0.6359999999999999,NRG VS LOUD,Sunset
T1,0.632,T1 VS DRX,Split
FNC,0.628,FNC VS GX,Breeze
GX,0.616,KC VS GX,Breeze
EG,0.612,C9 VS EG,Split
BLD,0.6,BLD VS RRQ,Lotus
EG,0.576,G2 VS EG,Icebox
M8,0.5599999999999999,M8 VS FNC,Lotus
GE,0.49000000000000005,GE VS ZETA,Sunset
